email,match_confidence,nombre_key,member_id_rcv,nombre,apellido,genero,fecha_nacimiento,whatsapp,nacionalidad,region,comuna,situacion_habitacional,pertenece_comite,cuantas_personas_viven,estado_registro,subsidio_recomendado,rsh,tiene_propiedad,tiene_subsidio,ingresos,ahorro,tiene_registro_web,inscrito_taller,asistio_taller,uso_minga,num_talleres_inscritos,num_talleres_asistidos,num_conversaciones_minga,tasa_asistencia,fuentes,fecha_primer_registro,fecha_etl,talleres_titulos,fecha_inscripcion_min,fecha_asistencia_min,fecha_minga_min
aaron.arriagada.demo10300@gmail.com,HIGH,aaron_arriagada,RCV-151999,Aarón,Arriagada,femenino,1970-05-12,56933161316,,metropolitana de santiago,las condes,,No,5,activo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2023-11-08 04:23:09,2026-08-26 19:01:20.008274,,,,
aaron.bastias.demo45198@outlook.com,HIGH,aaron_bastias,RCV-151999,Aarón,Bastías,femenino,1994-01-10,56933956316,,antofagasta,calama,arriendo,Sí,6,activo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2023-11-28 00:07:48,2026-08-26 19:01:20.008274,,,,
aaron.bravo.demo50554@outlook.com,HIGH,aaron_bravo,RCV-151999,Aarón,Bravo,no_especificado,1981-10-30,56978946341,,metropolitana de santiago,santiago,,No,5,activo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2024-10-06 14:11:27,2026-08-26 19:01:20.008274,,,,
aaron.bustos.demo39600@gmail.com,HIGH,aaron_bustos,RCV-151999,Aarón,Bustos,femenino,1977-08-10,56953094010,,maule,curicó,vivienda_propia,No,1,inactivo,,,,,,,True,False,True,False,0,1,0,,"[""registro"", ""asistencia""]",2024-03-15 12:53:31,2026-08-26 19:01:20.008274,,,2025-02-01,
aaron.castro.demo14317@yahoo.com,HIGH,aaron_castro,RCV-151999,Aarón,Castro,masculino,1964-07-24,56996166941,,biobío,talcahuano,allegado,Sí,2,activo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2023-07-14 09:56:25,2026-08-26 19:01:20.008274,,,,
aaron.fuenzalida.demo25122@gmail.com,HIGH,aaron_fuenzalida,RCV-151999,Aarón,Fuenzalida,femenino,1972-07-21,56997843277,,coquimbo,coquimbo,allegado,Sí,7,inactivo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2025-05-08 15:32:51,2026-08-26 19:01:20.008274,,,,
aaron.herrera.demo11176@gmail.com,HIGH,aaron_herrera,RCV-151999,Aarón,Herrera,femenino,1983-03-14,56959721909,,los lagos,valdivia,allegado,No,2,activo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2023-01-19 14:12:22,2026-08-26 19:01:20.008274,,,,
aaron.herrera.demo45129@gmail.com,HIGH,aaron_herrera,RCV-151999,Aarón,Herrera,femenino,1974-03-09,56955434805,,coquimbo,ovalle,allegado,Sí,1,activo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2024-02-08 09:38:17,2026-08-26 19:01:20.008274,,,,
aaron.mejias.demo30128@outlook.com,HIGH,aaron_mejias,RCV-151999,Aarón,Mejías,masculino,1959-06-03,56940537772,,maule,constitución,vivienda_cedida,No,3,activo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2024-04-20 13:47:00,2026-08-26 19:01:20.008274,,,,
aaron.miranda.demo37600@outlook.com,HIGH,aaron_miranda,RCV-151999,Aarón,Miranda,no_especificado,1979-10-15,56948977371,,metropolitana de santiago,santiago,,Sí,7,activo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2023-02-23 03:50:40,2026-08-26 19:01:20.008274,,,,
aaron.miranda.demo45433@gmail.com,HIGH,aaron_miranda,RCV-151999,Aarón,Miranda,femenino,1963-04-22,56986297686,chilena,maule,talca,arriendo,No,7,activo,DS49,80%,No,No,Más de $1.200.000,$2.000.000,True,False,False,True,0,0,1,,"[""registro"", ""minga""]",2025-08-18 00:00:00,2026-08-26 19:01:20.008274,,,,2025-08-18
aaron.plaza.demo20920@gmail.com,HIGH,aaron_plaza,RCV-151999,Aarón,Plaza,masculino,1961-05-21,56998883210,,metropolitana de santiago,maipú,campamento,No,4,activo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2023-11-08 02:58:36,2026-08-26 19:01:20.008274,,,,
aaron.sandoval.demo6922@outlook.com,HIGH,aaron_sandoval,RCV-151999,Aarón,Sandoval,masculino,1976-02-16,56991250082,,los lagos,valdivia,arriendo,No,5,inactivo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2023-11-25 15:43:21,2026-08-26 19:01:20.008274,,,,
aaron.soto.demo39838@yahoo.com,HIGH,aaron_soto,RCV-151999,Aarón,Soto,femenino,1984-04-03,56954395207,,araucanía,temuco,arriendo,Sí,2,inactivo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2024-01-06 05:46:15,2026-08-26 19:01:20.008274,,,,
aaron.soto.demo45091@hotmail.com,HIGH,aaron_soto,RCV-151999,Aarón,Soto,no_especificado,1986-08-22,56985148569,,valparaíso,valparaíso,,No,1,activo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2023-08-09 10:30:22,2026-08-26 19:01:20.008274,,,,
aaron.valdes.demo10004@hotmail.com,HIGH,aaron_valdes,RCV-151999,Aarón,Valdés,femenino,1988-05-12,56961150668,,aysén,coyhaique,allegado,Sí,1,inactivo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2023-04-27 05:09:20,2026-08-26 19:01:20.008274,,,,
abel.allende.demo25076@hotmail.com,HIGH,abel_allende,RCV-151999,Abel,Allende,femenino,1971-03-13,56992287209,,maule,constitución,arriendo,Sí,1,activo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2025-12-14 19:55:51,2026-08-26 19:01:20.008274,,,,
abel.avila.demo33120@yahoo.com,HIGH,abel_avila,RCV-151999,Abel,Ávila,masculino,1973-01-20,56992607605,,magallanes,natales,arriendo,No,5,activo,,,,,,,True,False,True,False,0,1,0,,"[""registro"", ""asistencia""]",2023-10-21 18:15:03,2026-08-26 19:01:20.008274,,,2025-05-17,
abel.carrasco.demo12830@outlook.com,HIGH,abel_carrasco,RCV-151999,Abel,Carrasco,femenino,1972-03-19,56979623156,,metropolitana de santiago,santiago,allegado,No,2,activo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2023-12-02 21:06:26,2026-08-26 19:01:20.008274,,,,
abel.carrasco.demo44058@outlook.com,HIGH,abel_carrasco,RCV-151999,Abel,Carrasco,masculino,1963-07-02,56925011892,,metropolitana de santiago,maipú,,No,6,activo,,,,,,,True,False,True,False,0,1,0,,"[""registro"", ""asistencia""]",2023-10-14 08:03:28,2026-08-26 19:01:20.008274,,,2025-11-24,
abel.contreras.demo49291@outlook.com,HIGH,abel_contreras,RCV-151999,Abel,Contreras,femenino,1989-09-26,56979742284,,valparaíso,valparaíso,vivienda_propia,No,4,activo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2023-05-20 11:18:57,2026-08-26 19:01:20.008274,,,,
abel.cortes.demo19424@yahoo.com,HIGH,abel_cortes,RCV-151999,Abel,Cortés,femenino,1995-12-13,56922009705,,valparaíso,san antonio,vivienda_propia,No,6,activo,,,,,,,True,False,False,False,0,0,0,,"[""registro""]",2026-01-28 01:53:54,2026-08-26 19:01:20.008274,,,,
