TALLER_ENTRY_ID,TALLER_TITLE,FECHA_TALLER,MEMBER_EMAIL,MEMBER_SCREEN_NAME
T-1046,Taller Ahorro y Subsidio Habitacional,03/09/2024,antonia.valdivia.demo41004@yahoo.com,Antonia Valdivia
T-1050,Asamblea Informativa DS49,05/05/2025,silvia.rebolledo.demo33403@outlook.com,Silvia Rebolledo
T-1035,Taller de Postulación DS19 - Mayo 2026,17/02/2023,pedro.matamala.demo32912@yahoo.com,Pedro Matamala
T-1032,Taller Subsidio Sectores Medios DS.01,03/05/2025,jenny.cornejo.demo50978@yahoo.com,Jenny Cornejo
T-1040,Taller Subsidio Sectores Medios DS.01,09/02/2023,amalia.garcia.demo17180@yahoo.com,Amalia García
T-1051,Charla: Déficit Habitacional en Chile,07/02/2024,maria.rodriguez.demo48550@gmail.com,María Rodríguez
T-1030,Webinar: Cómo Postular al Subsidio Habitacional,21/06/2024,alejandro.guerrero.demo29743@outlook.com,Alejandro Guerrero
T-1042,Taller de Educación Financiera,05/04/2025,jesus.parra.demo24125@yahoo.com,Jesus Parra
T-1022,Taller Subsidio Sectores Medios DS.01,30/04/2025,karina.urbina.demo21313@hotmail.com,Karina Urbina
T-1034,Taller de Postulación DS19 - Mayo 2026,11/04/2026,mirko.bravo.demo43315@yahoo.com,Mirko Bravo
T-1000,Charla: Déficit Habitacional en Chile,16/08/2025,rene.munoz.demo32875@outlook.com,René Muñoz
T-1032,Taller de Postulación DS19 - Mayo 2026,09/02/2026,francisco.fredes.demo19770@gmail.com,Francisco Fredes
T-1017,Taller Subsidio Sectores Medios DS.01,06/02/2025,mercedes.lara.demo33350@gmail.com,Mercedes Lara
T-1041,Asamblea Informativa DS49,08/10/2024,hector.vasquez.demo20449@gmail.com,Héctor Vásquez
T-1008,Charla: Déficit Habitacional en Chile,13/05/2026,juan.urzua.demo15811@gmail.com,Juan Urzúa
T-1057,Charla: Déficit Habitacional en Chile,04/10/2024,carlos.reyes.demo18992@outlook.com,Carlos Reyes
T-1043,Asamblea Informativa DS49,22/01/2025,luis.navarrete.demo22963@hotmail.com,Luis Navarrete
T-1035,Jornada Comités de Vivienda - Región Metropolitana,29/11/2023,karla.moraga.demo46382@hotmail.com,Karla Moraga
T-1006,Taller Ahorro y Subsidio Habitacional,05/10/2025,norma.carrasco.demo6987@hotmail.com,Norma Carrasco
T-1009,Jornada Comités de Vivienda - Región Metropolitana,01/05/2025,valentina.benavides.demo8194@outlook.com,Valentina Benavides
T-1042,Asamblea Informativa DS49,28/01/2026,juan.leyton.demo51078@yahoo.com,Juan Leyton
T-1053,Webinar: Cómo Postular al Subsidio Habitacional,07/07/2024,javier.perez.demo36568@outlook.com,Javier Pérez
T-1028,Jornada Comités de Vivienda - Región Metropolitana,19/12/2025,rosalia.castillo.demo13536@outlook.com,Rosalía Castillo
T-1052,Webinar: Cómo Postular al Subsidio Habitacional,11/03/2026,cristobal.zamora.demo36603@hotmail.com,Cristóbal Zamora
T-1006,Webinar: Cómo Postular al Subsidio Habitacional,20/03/2025,iris.aguilar.demo45858@gmail.com,Iris Aguilar
T-1027,Jornada Comités de Vivienda - Región Metropolitana,31/03/2023,karla.munoz.demo11501@hotmail.com,Karla Muñoz
T-1010,Asamblea Informativa DS49,26/06/2024,camila.bustos.demo26936@gmail.com,Camila Bustos
T-1055,Taller de Postulación DS19 - Mayo 2026,20/07/2025,angelo.retamal.demo11385@yahoo.com,Angelo Retamal
T-1004,Taller Subsidio Sectores Medios DS.01,28/12/2023,ulises.silva.demo23885@outlook.com,Ulises Silva
T-1031,Taller Ahorro y Subsidio Habitacional,27/05/2023,ricardo.santander.demo6186@yahoo.com,Ricardo Santander
T-1014,Taller de Postulación DS19 - Mayo 2026,18/09/2023,luis.arevalo.demo23153@yahoo.com,Luis Arévalo
