conv_id,date,transcript,num_msgs,email_usuario,preguntas_usuario,resumen,subsidio_recomendado,rsh,con_quien_postula,edad,tiene_propiedad,tiene_subsidio_habitacional,nacionalidad,ingresos,ahorro
CONV-10001,2024-07-17,Voluptatum iure veritatis dignissimos assumenda aliquam.,11,alberto.reyes.demo33197@yahoo.com,"[""culpa""]",Illo tempora adipisci repellendus eaque minus libero.,DS19,60%,Solo,69,No,Sí,Chilena,Más de $1.200.000,Sin ahorro formal
CONV-10002,2025-05-20,Vel voluptate esse eos voluptatibus ex eveniet.,20,alberto.reyes.demo33197@yahoo.com,"[""doloremque"", ""itaque"", ""ipsum"", ""ex""]",Velit temporibus nobis neque mollitia explicabo cumque.,DS49,60%,Otros,51,No,No,Peruana,$400.000 - $600.000,$2.000.000
CONV-10003,2024-10-10,Provident accusamus non cumque. Nemo ratione est. Voluptas eius reiciendis unde.,11,alberto.reyes.demo33197@yahoo.com,"[""asperiores""]",Nesciunt cupiditate dicta.,DS1,No registra,Solo,50,No,Sí,Chilena,$900.001 - $1.200.000,$1.000.000
CONV-10004,2025-08-19,Veritatis autem modi a dolores. Recusandae occaecati ullam unde.,14,florentino.mendoza.demo42954@yahoo.com,"[""vero"", ""beatae"", ""maxime"", ""voluptatibus""]",Molestiae labore molestias vel beatae.,DS19,60%,Solo,43,No,Sí,Chilena,$600.001 - $900.000,$1.000.000
CONV-10005,2025-10-11,Magnam tenetur dicta maiores.,19,juan.rivera.demo48759@gmail.com,"[""libero""]",Officia quos eligendi aut ipsum voluptatum.,Ninguno,No registra,Cónyuge,64,Sí,Sí,Chilena,Más de $1.200.000,$2.000.000
CONV-10006,2025-12-17,Officia consequatur enim sint libero.,14,juan.rivera.demo48759@gmail.com,"[""error"", ""officiis"", ""amet"", ""suscipit""]",Saepe voluptatum laborum quas placeat vero assumenda.,DS1,No registra,Otros,60,No,Sí,Colombiana,$400.000 - $600.000,Sin ahorro formal
CONV-10007,2024-07-01,Odit ipsa molestiae. Enim provident repudiandae.,7,javier.barria.demo5119@outlook.com,"[""facere"", ""consectetur"", ""reprehenderit"", ""dolore""]",Reprehenderit accusantium et.,Pendiente evaluación,No registra,Cónyuge,31,Sí,Sí,Chilena,$600.001 - $900.000,Sin ahorro formal
CONV-10008,2025-06-24,Reprehenderit veniam temporibus quidem temporibus deserunt sunt.,20,juan.maturana.demo42996@outlook.com,"[""fugiat"", ""ullam"", ""debitis"", ""officia""]",Unde et commodi quidem repellat hic in.,DS1,No registra,Otros,31,No,Sí,Chilena,$600.001 - $900.000,$500.000
CONV-10009,2025-07-17,Commodi et harum voluptas eum.,15,emma.sanhueza.demo40369@outlook.com,"[""vel"", ""repellendus""]",Incidunt nemo molestias odio qui vel voluptatibus.,Pendiente evaluación,80%,Solo,23,No,Sí,Colombiana,$600.001 - $900.000,$2.000.000
CONV-10010,2025-09-07,Placeat cum eum ducimus earum iusto possimus.,25,vanessa.gonzalez.demo32067@gmail.com,"[""voluptatum"", ""laboriosam"", ""quo"", ""quidem""]",Soluta eligendi nisi consequuntur.,DS1,No registra,Solo,25,No,Sí,Chilena,$600.001 - $900.000,Sin ahorro formal
