MEMBER_ID,ROL,NOMBRE,APELLIDO,EMAIL,FECHA_NACIMIENTO,WHATSAPP,REGION,COMUNA,REGISTRO_COMPLETO,ACEPTA_TERMINOS,FECHA_CREACION,GENERO,CUANTAS_PERSONAS_VIVES,PERTENECES_COMITE_VIVIENDA,SITUACION_HABITACIONAL,ESTADO,CAMPOS_COMPLETOS,FECHA,PASO 2 COMPLETO,PROVEEDOR REGISTRO
RCV-151999,usuario,Juan,Mendoza,juan.mendoza.demo0@outlook.com,1987-09-04,+56940545832,Araucanía,Temuco,Sí,Sí,2026-03-12 07:19:19,Masculino,8,No,campamento,activo,Sí,,Sí,formulario_fisico
RCV-151999,usuario,Gisselle,Acosta,gisselle.acosta.demo1@hotmail.com,1978-01-29,+56969102445,O'Higgins,San Vicente,Sí,Sí,2025-03-02 00:54:14,Femenino,2,No,arriendo,inactivo,Sí,2025-03-02,Sí,app_movil
RCV-151999,usuario,Mauricio,Osorio,mauricio.osorio.demo2@outlook.com,1999-12-07,+56949367784,Biobío,Concepción,Sí,Sí,2025-12-29 12:50:06,Masculino,5,No,vivienda_cedida,activo,Sí,2025-12-29,Sí,formulario_fisico
RCV-151999,usuario,José,Palma,jose.palma.demo3@yahoo.com,1989-10-24,+56919175113,Biobío,Concepción,Sí,Sí,2025-06-04 16:41:53,Masculino,8,No,,activo,Sí,,Sí,formulario_fisico
RCV-151999,usuario,Fernanda,Salas,fernanda.salas.demo4@hotmail.com,1979-09-16,+56945130422,Maule,Linares,Sí,Sí,2024-10-29 16:37:23,Femenino,5,No,allegado,activo,Sí,2024-10-29,Sí,formulario_fisico
RCV-151999,usuario,Patricia,Urrutia,patricia.urrutia.demo5@outlook.com,1997-07-07,+56921324261,Araucanía,Temuco,Sí,Sí,2023-10-23 06:16:16,Femenino,3,No,arriendo,activo,Sí,2023-10-23,No,formulario_fisico
RCV-151999,usuario,Angelo,Castañeda,angelo.castaneda.demo6@gmail.com,1961-03-08,+56930622020,Maule,Curicó,Sí,Sí,2025-08-31 02:28:28,Masculino,5,No,allegado,activo,Sí,2025-08-31,Sí,web
RCV-151999,usuario,Guillermina,Maldonado,guillermina.maldonado.demo7@outlook.com,1981-01-09,+56969812521,Tarapacá,Iquique,Sí,Sí,2026-01-27 14:00:51,Masculino,7,No,arriendo,activo,Sí,2026-01-27,No,app_movil
RCV-151999,admin,Maribel,Calderón,maribel.calderon.demo8@outlook.com,1972-02-01,+56949494950,Metropolitana de Santiago,San Bernardo,No,Sí,2026-04-05 17:02:49,Femenino,5,No,,activo,Sí,,Sí,formulario_fisico
RCV-151999,usuario,Amanda,Marín,amanda.marin.demo9@yahoo.com,1968-10-16,+56973250058,Los Lagos,Osorno,No,Sí,2023-01-24 07:07:50,Femenino,2,Sí,allegado,activo,Sí,,No,web
RCV-151999,usuario,Scarleth,Jiménez,scarleth.jimenez.demo10@yahoo.com,1971-10-05,+56975269709,Biobío,San Pedro de la Paz,Sí,Sí,2023-06-13 22:18:37,Femenino,1,No,arriendo,activo,Sí,,Sí,formulario_fisico
RCV-151999,usuario,Angelina,Venegas,angelina.venegas.demo11@outlook.com,1997-10-09,+56917615327,Magallanes,Punta Arenas,Sí,Sí,2025-05-11 23:38:02,Masculino,4,Sí,vivienda_propia,activo,Sí,,Sí,formulario_fisico
RCV-151999,usuario,Pablo,Vera,pablo.vera.demo12@yahoo.com,1997-06-02,+56968361648,Biobío,San Pedro de la Paz,Sí,Sí,2025-06-02 10:33:15,Masculino,1,Sí,vivienda_cedida,activo,Sí,,Sí,web
RCV-151999,usuario,Martín,Moraga,martin.moraga.demo13@hotmail.com,1985-03-12,+56987997361,Metropolitana de Santiago,Las Condes,Sí,No,2023-03-24 07:29:37,,3,No,allegado,activo,Sí,2023-03-24,Sí,web
RCV-151999,usuario,Ignacia,Rodríguez,ignacia.rodriguez.demo14@yahoo.com,1967-05-18,+56994223768,Tarapacá,Alto Hospicio,Sí,Sí,2024-11-22 20:18:23,Femenino,3,Sí,arriendo,activo,Sí,2024-11-22,No,web
RCV-151999,usuario,Maximiliano,Sanhueza,maximiliano.sanhueza.demo15@yahoo.com,1987-02-28,+56949915660,Valparaíso,San Antonio,Sí,Sí,2025-09-10 12:48:37,,4,No,,activo,Sí,2025-09-10,No,formulario_fisico
RCV-151999,usuario,Luis,Delgado,luis.delgado.demo16@hotmail.com,1996-05-11,+56989360410,Metropolitana de Santiago,Santiago,Sí,Sí,2024-02-17 07:08:04,Femenino,8,Sí,arriendo,activo,Sí,,No,app_movil
RCV-151999,usuario,Gabriela,Figueroa,gabriela.figueroa.demo17@gmail.com,1979-07-24,+56995519087,Metropolitana de Santiago,Santiago,Sí,Sí,2024-11-13 21:09:58,Femenino,8,No,arriendo,inactivo,Sí,,Sí,web
RCV-151999,usuario,Erasmo,Sepúlveda,erasmo.sepulveda.demo18@gmail.com,1964-08-25,+56957529916,Metropolitana de Santiago,Providencia,Sí,Sí,2026-05-24 10:52:52,Masculino,7,No,,activo,Sí,,Sí,web
RCV-151999,usuario,José,Díaz,jose.diaz.demo19@gmail.com,1972-10-25,+56994690664,Maule,Talca,No,Sí,2023-12-13 13:15:03,Otro,7,Sí,allegado,activo,Sí,,No,formulario_fisico
RCV-151999,usuario,Fabiola,Villa,fabiola.villa.demo20@gmail.com,1993-02-21,+56965942637,Maule,Linares,Sí,Sí,2025-01-19 09:44:49,Otro,4,No,vivienda_propia,activo,Sí,,Sí,app_movil
RCV-151999,admin,Máximo,Espinosa,maximo.espinosa.demo21@outlook.com,1957-12-30,+56987769354,Biobío,San Pedro de la Paz,Sí,Sí,2023-05-10 21:57:51,Femenino,1,Sí,arriendo,activo,Sí,,No,web
RCV-151999,usuario,Daniela,Villalobos,daniela.villalobos.demo22@gmail.com,1970-05-03,+56961292288,Magallanes,Punta Arenas,No,Sí,2024-01-20 14:19:46,Masculino,6,No,allegado,activo,Sí,,No,formulario_fisico
RCV-151999,usuario,Trinidad,Muñoz,trinidad.munoz.demo23@hotmail.com,1986-01-23,+56938684278,Biobío,Chiguayante,Sí,Sí,2025-05-17 04:50:49,Masculino,6,Sí,allegado,activo,Sí,2025-05-17,No,app_movil
