TALLER_ENTRY_ID,TALLER_TITLE,TALLER_URL,MEMBER_ID,MEMBER_SCREEN_NAME,MEMBER_EMAIL,MEMBER_URL,FORMULARIO_ENTRY_ID,FORMULARIO_URL,FORMULARIO_STATUS,FORMULARIO_ENTRY_DATE,PREGUNTAS - RESPUESTAS
ENTRY-10000,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/3,MEM-143754,Yaritza Huerta,yaritza.huerta.demo43754@yahoo.com,http://comunidad.deficitcero.cl/u/11974,FORM-10000,http://forms.deficitcero.cl/f/649,completado,2024-03-09,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10001,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/4,MEM-128743,Emily Domínguez,emily.dominguez.demo28743@yahoo.com,http://comunidad.deficitcero.cl/u/50146,FORM-10001,http://forms.deficitcero.cl/f/742,completado,2026-04-05,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10002,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/4,MEM-146545,Elías Lira,elias.lira.demo46545@outlook.com,http://comunidad.deficitcero.cl/u/61386,FORM-10002,http://forms.deficitcero.cl/f/135,completado,2025-10-04,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10003,Webinar: Cómo Postular al Subsidio Habitacional,http://deficitcero.cl/talleres/5,MEM-100475,Darío Campos,dario.campos.demo475@gmail.com,http://comunidad.deficitcero.cl/u/62759,FORM-10003,http://forms.deficitcero.cl/f/848,pendiente,2025-03-12,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10004,Webinar: Cómo Postular al Subsidio Habitacional,http://deficitcero.cl/talleres/8,MEM-120361,Catalina Villanueva,catalina.villanueva.demo20361@yahoo.com,http://comunidad.deficitcero.cl/u/19926,FORM-10004,http://forms.deficitcero.cl/f/867,pendiente,2026-01-15,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10005,Taller de Educación Financiera,http://deficitcero.cl/talleres/6,MEM-133720,Sergio González,sergio.gonzalez.demo33720@yahoo.com,http://comunidad.deficitcero.cl/u/86252,FORM-10005,http://forms.deficitcero.cl/f/128,completado,2024-11-27,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10006,Asamblea Informativa DS49,http://deficitcero.cl/talleres/6,MEM-122986,Humberto Peña,humberto.pena.demo22986@hotmail.com,http://comunidad.deficitcero.cl/u/58917,FORM-10006,http://forms.deficitcero.cl/f/422,completado,2025-08-03,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10007,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/7,MEM-128119,Gema San Martín,gema.san martin.demo28119@outlook.com,http://comunidad.deficitcero.cl/u/51110,FORM-10007,http://forms.deficitcero.cl/f/570,completado,2025-11-13,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10008,Taller Subsidio Sectores Medios DS.01,http://deficitcero.cl/talleres/5,MEM-148118,Edgardo Gutiérrez,edgardo.gutierrez.demo48118@hotmail.com,http://comunidad.deficitcero.cl/u/53265,FORM-10008,http://forms.deficitcero.cl/f/521,completado,2024-09-19,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10009,Jornada Comités de Vivienda - Región Metropolitana,http://deficitcero.cl/talleres/8,MEM-135769,Carmen Salinas,carmen.salinas.demo35769@outlook.com,http://comunidad.deficitcero.cl/u/37793,FORM-10009,http://forms.deficitcero.cl/f/199,completado,2024-09-28,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
